#OTU ID	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00042	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00048	Otu00049	Otu00050	Otu00052	Otu00053	Otu00054	Otu00055	Otu00056	Otu00057	Otu00058	Otu00059	Otu00061	Otu00062	Otu00063	Otu00064	Otu00065	Otu00066	Otu00067	Otu00068	Otu00069	Otu00070	Otu00072	Otu00073	Otu00074	Otu00075	Otu00077	Otu00078	Otu00079	Otu00080	Otu00081	Otu00082	Otu00083	Otu00084	Otu00085	Otu00086	Otu00087	Otu00089	Otu00090	Otu00091	Otu00092	Otu00093	Otu00094	Otu00095	Otu00096	Otu00097	Otu00098	Otu00099	Otu00100	Otu00101	Otu00102	Otu00103	Otu00104	Otu00105	Otu00106	Otu00107	Otu00108	Otu00109	Otu00110	Otu00111	Otu00112	Otu00113	Otu00114	Otu00115	Otu00116	Otu00117	Otu00118	Otu00119	Otu00120	Otu00121	Otu00122	Otu00123	Otu00124	Otu00126	Otu00127	Otu00128	Otu00130	Otu00132	Otu00133	Otu00134	Otu00135
Otu00083	0.8020	0.1683	0.8317	0.0099	0.6139	0.0099	0.4950	0.4653	0.4455	0.7624	0.0099	0.8614	0.7624	0.0099	0.0099	0.3861	0.0198	0.5545	0.2079	0.5149	0.0990	0.4851	0.1188	0.0099	0.0693	0.0099	0.1584	0.0891	0.2475	0.0792	0.1980	0.1287	0.0792	0.1089	0.1782	0.6436	0.0099	0.1584	0.1980	0.0891	0.5149	0.0693	0.0693	0.0792	0.0693	0.1089	0.0396	0.0594	0.0495	0.5149	0.1980	0.5347	0.5446	0.0594	0.1782	0.0495	0.4158	0.3663	0.0693	0.0495	0.0099	0.0693	0.1089	0.1485	0.0693	0.2178	0.0297	0.0396	0.4455	0.0594	0.1683	0.4554	0.5050	0.0891	0.2376	1.0000	0.0891	0.0693	0.0594	0.9010	0.1782	0.1683	0.2673	0.0891	0.0396	0.0396	0.0594	0.4554	0.1188	0.3366	0.3663	0.0594	0.1485	0.0495	0.1188	0.0990	0.0891	0.3168	0.0594	0.1485	0.1287	0.4257	0.1089	0.1584	0.0990	0.1287	0.0990	0.4158	0.1881	0.1089	0.1980	0.2178	0.1287	0.1287	0.0594	0.1287	0.1782	0.1188	0.1287	0.1287	0.1584	0.3069	0.1584	0.1089
Otu00084	0.1188	0.0693	0.0297	0.0891	0.1188	0.2673	0.1188	0.0792	0.0297	0.0990	0.0891	0.1188	0.0693	0.9307	0.1584	0.0495	0.2673	0.0297	0.0198	0.1089	0.0099	0.0792	0.0198	0.0495	0.0198	0.6337	0.0297	0.0099	0.0198	0.0099	0.0099	0.0099	0.0297	0.0099	0.0297	0.0693	0.1386	0.0198	0.0297	0.0099	0.1188	0.0297	0.0198	0.0099	0.0396	0.0198	0.0099	0.0297	0.0099	0.0099	0.0099	0.0495	0.0594	0.0198	0.0099	0.0297	0.0297	0.0594	0.0099	0.0099	0.0297	0.0099	0.0396	0.0198	0.0495	0.0396	0.0495	0.0396	0.0495	0.0099	0.0396	0.0396	0.0297	0.0297	0.0495	0.0891	1.0000	0.1386	0.0297	0.3267	0.0594	0.0297	0.0297	0.0198	0.0297	0.0198	0.0495	0.0594	0.0594	0.0297	0.0693	0.0297	0.0297	0.0297	0.0099	0.0297	0.0198	0.0396	0.0792	0.0594	0.0198	0.0198	0.0594	0.0297	0.0396	0.0693	0.0396	0.0099	0.0198	0.0198	0.0198	0.0198	0.0693	0.0990	0.0495	0.0495	0.0594	0.0396	0.0594	0.0594	0.0495	0.0396	0.0990	0.0495
Otu00085	0.0396	0.7723	0.1584	0.0099	0.0495	0.1584	0.8713	0.9010	0.7822	0.0891	0.2871	0.0297	0.0594	0.7327	0.0693	0.7822	0.0396	0.3168	0.0099	0.7921	0.0495	0.0495	0.0693	0.0297	0.0495	0.4455	0.0594	0.0297	0.0792	0.0297	0.0396	0.0594	0.0693	0.0891	0.1386	0.0396	0.0792	0.0396	0.0693	0.0396	0.0198	0.0297	0.0792	0.0396	0.0693	0.1386	0.0594	0.0297	0.0891	0.1089	0.0990	0.8218	0.7921	0.0891	0.0495	0.1287	0.6733	0.6634	0.0495	0.1188	0.0396	0.1188	0.1782	0.1584	0.0396	0.0594	0.0495	0.0990	0.4950	0.1287	0.0297	0.0396	0.6436	0.0495	0.1584	0.0693	0.1386	1.0000	0.0594	0.6832	0.1089	0.0792	0.0990	0.0693	0.1089	0.1188	0.0792	0.4950	0.0990	0.5941	0.6733	0.0693	0.0495	0.1089	0.1089	0.1089	0.1782	0.2673	0.0990	0.2079	0.1782	0.0198	0.0891	0.2178	0.1188	0.1881	0.0594	0.0198	0.0891	0.1782	0.1683	0.0198	0.1584	0.0495	0.2475	0.1782	0.0495	0.1485	0.0990	0.0792	0.1485	0.1485	0.0792	0.0792
Otu00086	0.2574	0.0198	0.0396	0.2178	0.1485	0.3267	0.0198	0.0594	0.0297	0.1386	0.1089	0.1683	0.1386	0.8713	0.1287	0.0099	0.4455	0.0297	0.0198	0.0693	0.0198	0.1089	0.0297	0.1287	0.0099	0.5941	0.0099	0.0297	0.0099	0.0594	0.0495	0.0099	0.0099	0.0099	0.0693	0.0891	0.1584	0.0198	0.0396	0.0198	0.1584	0.0198	0.0099	0.0099	0.0297	0.0099	0.0198	0.0198	0.0396	0.0495	0.0198	0.0396	0.0099	0.0198	0.0297	0.0297	0.0396	0.0396	0.0198	0.0297	0.0297	0.0099	0.0198	0.0099	0.0396	0.0297	0.0396	0.0297	0.0297	0.0297	0.0693	0.0396	0.0099	0.0495	0.0396	0.0594	0.0297	0.0594	1.0000	0.2277	0.0594	0.0297	0.0297	0.0396	0.0297	0.0495	0.0099	0.0594	0.0297	0.0099	0.0099	0.0396	0.0396	0.0495	0.0297	0.0198	0.0297	0.0099	0.0396	0.0198	0.0297	0.0495	0.0891	0.0297	0.0297	0.0495	0.0297	0.0495	0.0396	0.0495	0.0297	0.0594	0.0297	0.0396	0.0198	0.0198	0.0297	0.0198	0.0693	0.0396	0.0693	0.0792	0.1089	0.1287
Otu00087	0.5050	0.0099	0.0990	0.1881	0.5248	0.6139	0.0099	0.0099	0.0099	0.5743	0.8515	0.5446	0.6931	0.1782	0.5149	0.0099	0.0297	0.0099	0.2475	0.0099	0.2178	0.6634	0.3762	0.2673	0.3762	0.3564	0.4158	0.2673	0.0990	0.1683	0.4653	0.3960	0.1782	0.1287	0.0792	0.5545	0.4653	0.2277	0.3663	0.3168	0.5248	0.4950	0.2376	0.1881	0.3168	0.2079	0.2970	0.2178	0.2871	0.1188	0.0990	0.0099	0.0099	0.2970	0.3366	0.2574	0.0198	0.0099	0.2673	0.1386	0.6139	0.2079	0.1980	0.1881	0.5347	0.3168	0.3465	0.2871	0.0198	0.1287	0.2277	0.6535	0.0099	0.4653	0.3465	0.9010	0.3267	0.6832	0.2277	1.0000	0.4158	0.2574	0.1683	0.2277	0.2772	0.1980	0.2871	0.0099	0.2673	0.0099	0.0099	0.4356	0.2079	0.3564	0.1386	0.1980	0.1386	0.2277	0.5446	0.1287	0.2574	0.7426	0.2475	0.1980	0.1782	0.2772	0.4554	0.6733	0.2079	0.3069	0.2079	0.5842	0.2673	0.2970	0.3663	0.1881	0.2178	0.2277	0.4257	0.3861	0.1980	0.2277	0.3960	0.4059
Otu00089	0.1287	0.0891	0.0396	0.0891	0.1287	0.2574	0.1386	0.1287	0.1386	0.1188	0.1881	0.1584	0.0792	0.9901	0.1386	0.1386	0.2772	0.0198	0.0099	0.0891	0.0198	0.0990	0.0297	0.1089	0.0396	0.5842	0.0297	0.0198	0.0099	0.0297	0.0198	0.0198	0.0297	0.0198	0.0297	0.0693	0.2376	0.0297	0.0198	0.0297	0.0693	0.0297	0.0099	0.0297	0.0198	0.0198	0.0396	0.0198	0.0297	0.0198	0.0495	0.0990	0.0792	0.0396	0.0099	0.0396	0.0594	0.0693	0.0396	0.0198	0.0792	0.0495	0.0297	0.0198	0.0297	0.0297	0.0297	0.0198	0.0891	0.0297	0.0693	0.0990	0.0891	0.0396	0.0495	0.1782	0.0594	0.1089	0.0594	0.4158	1.0000	0.0495	0.0198	0.0594	0.0396	0.0495	0.0693	0.0792	0.0594	0.0792	0.0099	0.0396	0.0297	0.0495	0.0792	0.0396	0.0594	0.0693	0.0594	0.0594	0.0198	0.0693	0.0198	0.0495	0.0495	0.0297	0.0693	0.0693	0.1485	0.0693	0.0693	0.0495	0.0297	0.0495	0.0495	0.0693	0.0198	0.0396	0.0396	0.0396	0.0693	0.0297	0.0495	0.0594
Otu00090	0.2178	0.0396	0.0297	0.1089	0.1089	0.1881	0.0693	0.1089	0.0891	0.1881	0.0693	0.1386	0.0891	0.9802	0.1089	0.1089	0.3465	0.0198	0.0396	0.0396	0.0297	0.0792	0.0396	0.1485	0.0198	0.6832	0.0099	0.0099	0.0099	0.0297	0.0198	0.0297	0.0198	0.0198	0.0396	0.0693	0.0792	0.0396	0.0099	0.0594	0.0297	0.0198	0.0198	0.0396	0.0198	0.0396	0.0297	0.0297	0.0198	0.0297	0.0495	0.0495	0.0396	0.0198	0.0099	0.0396	0.0297	0.0693	0.0297	0.0099	0.0396	0.0198	0.0297	0.0099	0.0297	0.0099	0.0198	0.0396	0.0297	0.0198	0.0396	0.1089	0.0693	0.0198	0.0990	0.1683	0.0297	0.0792	0.0297	0.2574	0.0495	1.0000	0.0594	0.0594	0.0396	0.0495	0.0396	0.0297	0.0495	0.0297	0.0198	0.0198	0.0198	0.0198	0.0198	0.0495	0.0792	0.0198	0.0099	0.0495	0.0495	0.0495	0.0693	0.0594	0.0099	0.0099	0.0693	0.0792	0.0099	0.0396	0.0297	0.0297	0.0396	0.0792	0.0198	0.0099	0.0198	0.0396	0.0396	0.0693	0.0396	0.0396	0.0297	0.0594
Otu00091	0.1287	0.0396	0.0198	0.1683	0.1287	0.4158	0.0396	0.0396	0.0495	0.1287	0.1683	0.1386	0.0891	0.5842	0.2574	0.0594	0.5248	0.0099	0.0198	0.0297	0.0198	0.1287	0.0990	0.2178	0.0297	0.9604	0.0297	0.0198	0.0099	0.0099	0.0297	0.0099	0.0396	0.0099	0.0396	0.0495	0.3069	0.0099	0.0693	0.0396	0.0693	0.0495	0.0396	0.0099	0.0297	0.0198	0.0297	0.0297	0.0396	0.0396	0.0297	0.0891	0.0297	0.0495	0.0297	0.0396	0.0297	0.0297	0.0198	0.0396	0.1584	0.0297	0.0396	0.0396	0.0396	0.0198	0.0297	0.0297	0.0297	0.0594	0.0198	0.0891	0.0594	0.0198	0.0297	0.2673	0.0297	0.0990	0.0297	0.1683	0.0198	0.0594	1.0000	0.0297	0.0396	0.0297	0.0198	0.0297	0.0495	0.0396	0.0198	0.0198	0.0099	0.0594	0.0099	0.0594	0.0297	0.0495	0.0891	0.0396	0.0891	0.0594	0.0495	0.0693	0.0396	0.0297	0.1287	0.0396	0.0198	0.0594	0.0891	0.0297	0.0594	0.0198	0.0495	0.0396	0.0495	0.0099	0.0891	0.1089	0.0495	0.0396	0.0495	0.0693
Otu00092	0.0990	0.0792	0.0198	0.0495	0.0792	0.1485	0.0297	0.0891	0.0990	0.0891	0.0792	0.1287	0.0891	0.9901	0.0891	0.0495	0.2277	0.0396	0.0198	0.0693	0.0099	0.0594	0.0396	0.0594	0.0099	0.7129	0.0396	0.0099	0.0198	0.0297	0.0198	0.0099	0.0396	0.0297	0.0297	0.0891	0.1089	0.0198	0.0099	0.0099	0.0891	0.0099	0.0198	0.0198	0.0198	0.0297	0.0297	0.0297	0.0198	0.0297	0.0198	0.0594	0.0396	0.0198	0.0099	0.0099	0.0396	0.0792	0.0396	0.0099	0.0297	0.0594	0.0297	0.0198	0.0198	0.0198	0.0396	0.0099	0.0594	0.0297	0.0198	0.0495	0.0495	0.0297	0.0594	0.0891	0.0198	0.0693	0.0396	0.2277	0.0594	0.0594	0.0297	1.0000	0.0297	0.0297	0.0099	0.0198	0.0099	0.0594	0.0198	0.0099	0.0099	0.0792	0.0198	0.0297	0.0297	0.0297	0.0396	0.0198	0.0297	0.0297	0.0099	0.0396	0.0396	0.0297	0.0396	0.0495	0.0396	0.0594	0.0396	0.0396	0.0297	0.0099	0.0594	0.0396	0.0297	0.0198	0.0792	0.0396	0.0297	0.0891	0.0198	0.0594
Otu00093	0.2475	0.0990	0.0396	0.0891	0.2277	0.1287	0.0495	0.1188	0.1089	0.1287	0.0792	0.1386	0.1683	0.9901	0.1287	0.0495	0.3762	0.0099	0.0297	0.0693	0.0198	0.0990	0.0198	0.1287	0.0198	0.6139	0.0396	0.0297	0.0297	0.0099	0.0396	0.0099	0.0297	0.0198	0.0198	0.0594	0.1584	0.0099	0.0198	0.0198	0.1089	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0495	0.0198	0.1089	0.0297	0.0891	0.0396	0.0396	0.0396	0.0198	0.0396	0.0693	0.0297	0.0198	0.0099	0.0198	0.0594	0.0396	0.0198	0.0396	0.0099	0.0198	0.0693	0.0396	0.0099	0.0495	0.0198	0.0594	0.0099	0.0396	0.0297	0.1089	0.0297	0.2772	0.0396	0.0396	0.0396	0.0297	1.0000	0.0594	0.0198	0.0297	0.0594	0.0396	0.0297	0.0297	0.0396	0.0297	0.0198	0.0594	0.0594	0.0594	0.0792	0.0396	0.0396	0.0396	0.0594	0.0495	0.0594	0.1089	0.0297	0.0396	0.0198	0.0594	0.0495	0.0792	0.0693	0.0297	0.0594	0.0396	0.0198	0.0495	0.0396	0.0396	0.1188	0.0396	0.0396	0.0495
Otu00094	0.1881	0.0297	0.0198	0.1782	0.1980	0.0792	0.0396	0.0396	0.0693	0.0891	0.0594	0.1782	0.1188	0.9010	0.0891	0.0297	0.3960	0.0297	0.0297	0.0297	0.0099	0.1386	0.0396	0.0891	0.0198	0.4257	0.0198	0.0099	0.0396	0.0099	0.0198	0.0099	0.0198	0.0099	0.0198	0.0693	0.1287	0.0099	0.0297	0.0396	0.1485	0.0099	0.0198	0.0396	0.0198	0.0198	0.0198	0.0594	0.0297	0.0396	0.0297	0.0495	0.0099	0.0396	0.0099	0.0297	0.0099	0.0198	0.0198	0.0099	0.0099	0.0198	0.0198	0.0495	0.0198	0.0594	0.0297	0.0198	0.0099	0.0396	0.0495	0.0693	0.0297	0.0198	0.0297	0.0396	0.0198	0.1188	0.0495	0.1980	0.0495	0.0495	0.0297	0.0297	0.0594	1.0000	0.0495	0.0198	0.0396	0.0396	0.0198	0.0396	0.0297	0.0198	0.0396	0.0396	0.0297	0.0198	0.0297	0.0297	0.0594	0.0594	0.0297	0.0396	0.0396	0.0099	0.0792	0.0792	0.0198	0.0297	0.0990	0.0396	0.0198	0.0099	0.1089	0.0099	0.0198	0.0198	0.0891	0.0297	0.0693	0.0396	0.0594	0.0198
Otu00095	0.1683	0.1188	0.0099	0.0198	0.1188	0.0990	0.1089	0.1089	0.1683	0.1782	0.0297	0.2277	0.1188	0.7327	0.0891	0.0891	0.2079	0.0099	0.0297	0.0693	0.0297	0.0891	0.0198	0.0891	0.0297	0.4752	0.0099	0.0198	0.0198	0.0297	0.0099	0.0099	0.0495	0.0396	0.0297	0.0891	0.0990	0.0198	0.0198	0.0297	0.0990	0.0198	0.0198	0.0297	0.0297	0.0198	0.0099	0.0396	0.0198	0.0099	0.0396	0.0693	0.0891	0.0198	0.0297	0.0396	0.0891	0.0792	0.0099	0.0297	0.0495	0.0297	0.0099	0.0297	0.0099	0.0792	0.0099	0.0396	0.0693	0.0297	0.0198	0.0891	0.0396	0.0099	0.0396	0.0594	0.0495	0.0792	0.0099	0.2871	0.0693	0.0396	0.0198	0.0099	0.0198	0.0495	1.0000	0.0792	0.0396	0.0297	0.0594	0.0396	0.0297	0.0396	0.0198	0.0297	0.0198	0.0297	0.0495	0.0594	0.0099	0.0495	0.0693	0.0198	0.0297	0.0693	0.0198	0.0396	0.0594	0.0495	0.0891	0.0594	0.0495	0.0396	0.0495	0.1089	0.0495	0.0396	0.0495	0.0297	0.0297	0.0990	0.0495	0.0297
Otu00096	0.7426	0.0099	0.0099	1.0000	0.7129	0.7426	0.0099	0.0099	0.0099	0.7426	0.1782	0.8812	0.6337	0.4059	0.6139	0.0099	0.3366	0.0099	0.0792	0.0099	0.0495	0.6139	0.0792	0.9307	0.0198	0.8812	0.0396	0.0594	0.0198	0.0099	0.0594	0.0198	0.0495	0.0198	0.0099	0.6040	0.7129	0.0297	0.0594	0.0099	0.6238	0.0495	0.0099	0.0198	0.0297	0.0396	0.0198	0.0297	0.0099	0.0198	0.0198	0.0099	0.0099	0.0594	0.0396	0.0396	0.0099	0.0099	0.0693	0.0297	0.2772	0.0198	0.0099	0.0297	0.0792	0.0495	0.0099	0.0396	0.0099	0.0396	0.0198	0.3762	0.0099	0.0495	0.0594	0.4554	0.0594	0.4950	0.0594	0.0099	0.0792	0.0297	0.0297	0.0198	0.0297	0.0198	0.0792	1.0000	0.0396	0.0099	0.0099	0.0297	0.0198	0.0495	0.0396	0.0198	0.0099	0.0396	0.0297	0.0396	0.0495	0.3663	0.0594	0.0594	0.0495	0.0396	0.1188	0.4950	0.0594	0.0297	0.0297	0.4356	0.0594	0.0495	0.0693	0.0297	0.0297	0.0099	0.1089	0.0495	0.0495	0.0693	0.0396	0.0693
Otu00097	0.2673	0.0594	0.0396	0.0693	0.1089	0.2475	0.0891	0.0495	0.0495	0.1287	0.1089	0.1683	0.1089	0.7129	0.1485	0.0396	0.3960	0.0198	0.0198	0.0693	0.0099	0.0495	0.0297	0.0990	0.0099	0.7129	0.0297	0.0198	0.0297	0.0198	0.0198	0.0099	0.0297	0.0198	0.0099	0.0792	0.1584	0.0396	0.0297	0.0198	0.1188	0.0396	0.0495	0.0297	0.0297	0.0396	0.0099	0.0297	0.0297	0.0792	0.0198	0.1386	0.0495	0.0099	0.0099	0.0099	0.0396	0.0594	0.0198	0.0297	0.0594	0.0297	0.0297	0.0297	0.0297	0.0198	0.0099	0.0198	0.0792	0.0099	0.0297	0.0495	0.0198	0.0495	0.0495	0.1188	0.0594	0.0990	0.0297	0.2673	0.0594	0.0495	0.0495	0.0099	0.0594	0.0396	0.0396	0.0396	1.0000	0.0396	0.0396	0.0198	0.0099	0.0099	0.0198	0.0099	0.0198	0.0495	0.0198	0.0297	0.0495	0.0693	0.0495	0.0495	0.0495	0.0198	0.0693	0.0495	0.0297	0.0198	0.0693	0.0198	0.0693	0.0396	0.0990	0.0891	0.0297	0.0198	0.0792	0.0099	0.0594	0.0495	0.0297	0.0198
Otu00098	0.7723	0.0099	0.0099	0.8812	0.7723	0.7129	0.0099	0.0099	0.0099	0.7921	0.2475	0.8119	0.6040	0.3564	0.6733	0.0099	0.2079	0.0099	0.0990	0.0099	0.0594	0.5842	0.0693	0.9604	0.0297	0.8515	0.0495	0.0198	0.0099	0.0198	0.0792	0.0297	0.0099	0.0297	0.0495	0.7129	0.8416	0.0297	0.0495	0.0297	0.6733	0.1089	0.0297	0.0396	0.0198	0.0198	0.0495	0.0198	0.0099	0.0594	0.0198	0.0099	0.0099	0.0396	0.0297	0.0198	0.0099	0.0099	0.0297	0.0198	0.4455	0.0198	0.0396	0.0198	0.0693	0.0297	0.0396	0.0198	0.0099	0.0198	0.0594	0.5941	0.0099	0.0693	0.0396	0.3366	0.0297	0.5941	0.0099	0.0099	0.0792	0.0297	0.0396	0.0594	0.0396	0.0396	0.0297	0.0099	0.0396	1.0000	0.0099	0.0495	0.0594	0.0495	0.0396	0.0396	0.0396	0.0396	0.0693	0.0099	0.0396	0.3960	0.0990	0.0297	0.0990	0.0297	0.0990	0.5050	0.0594	0.0594	0.0495	0.3762	0.0792	0.0594	0.0594	0.0297	0.0099	0.0396	0.0495	0.0693	0.0693	0.0792	0.0396	0.0495
Otu00099	0.7723	0.0099	0.0099	0.9406	0.6535	0.6436	0.0099	0.0099	0.0099	0.6337	0.2673	0.7129	0.6535	0.3465	0.4851	0.0099	0.3564	0.0099	0.0594	0.0099	0.0099	0.6040	0.0594	0.7525	0.0198	0.8416	0.0198	0.0198	0.0297	0.0198	0.0297	0.0396	0.0099	0.0198	0.0396	0.6238	0.8020	0.0396	0.0396	0.0099	0.5842	0.0198	0.0099	0.0198	0.0198	0.0099	0.0297	0.0297	0.0198	0.0198	0.0099	0.0099	0.0099	0.0198	0.0594	0.0099	0.0099	0.0099	0.0495	0.0396	0.4455	0.0099	0.0099	0.0198	0.0198	0.0099	0.0396	0.0495	0.0099	0.0495	0.0099	0.4455	0.0099	0.0693	0.0099	0.3663	0.0693	0.6733	0.0099	0.0099	0.0099	0.0198	0.0198	0.0198	0.0297	0.0198	0.0594	0.0099	0.0396	0.0099	1.0000	0.0693	0.0198	0.0297	0.0198	0.0297	0.0099	0.0297	0.0396	0.0099	0.0495	0.2574	0.0693	0.0594	0.0198	0.0198	0.0495	0.5347	0.0990	0.0297	0.0594	0.4752	0.0297	0.0891	0.0792	0.0198	0.0198	0.0198	0.0693	0.0594	0.0396	0.0495	0.0297	0.0891
Otu00100	0.2079	0.0891	0.0396	0.0990	0.0990	0.1584	0.0594	0.0495	0.0891	0.0891	0.0594	0.2376	0.1287	1.0000	0.0891	0.0396	0.3069	0.0198	0.0099	0.1089	0.0297	0.0792	0.0396	0.0792	0.0198	0.5545	0.0297	0.0099	0.0297	0.0099	0.0099	0.0198	0.0297	0.0396	0.0396	0.0396	0.1386	0.0297	0.0594	0.0099	0.0792	0.0297	0.0099	0.0198	0.0297	0.0297	0.0396	0.0198	0.0099	0.0297	0.0198	0.0495	0.0891	0.0297	0.0099	0.0198	0.1089	0.0495	0.0198	0.0396	0.0297	0.0495	0.0099	0.0198	0.0198	0.0198	0.0198	0.0297	0.0495	0.0198	0.0099	0.0396	0.0693	0.0396	0.0099	0.0594	0.0297	0.0693	0.0396	0.4356	0.0396	0.0198	0.0198	0.0099	0.0297	0.0396	0.0396	0.0297	0.0198	0.0495	0.0693	1.0000	0.0396	0.0792	0.0198	0.0297	0.0594	0.0693	0.0396	0.0198	0.0594	0.0594	0.0594	0.0396	0.0693	0.0594	0.0396	0.0693	0.0594	0.0495	0.0495	0.0198	0.0693	0.0198	0.0198	0.0099	0.0495	0.0198	0.0495	0.0396	0.1089	0.0693	0.0198	0.0297
Otu00101	0.0792	0.0594	0.0396	0.1683	0.0693	0.2475	0.0495	0.0693	0.0396	0.0693	0.0594	0.1188	0.1188	0.7723	0.1782	0.0198	0.3861	0.0198	0.0099	0.0297	0.0099	0.0693	0.0198	0.0495	0.0099	0.6337	0.0099	0.0198	0.0198	0.0198	0.0594	0.0396	0.0396	0.0495	0.0198	0.0891	0.2178	0.0396	0.0099	0.0198	0.0396	0.0198	0.0198	0.0099	0.0198	0.0495	0.0297	0.0198	0.0198	0.0099	0.0396	0.0396	0.0396	0.0099	0.0198	0.0198	0.0495	0.0495	0.0297	0.0099	0.0495	0.0297	0.0099	0.0297	0.0297	0.0594	0.0099	0.0198	0.0198	0.0198	0.0099	0.0594	0.0198	0.0297	0.0198	0.1485	0.0297	0.0495	0.0396	0.2079	0.0297	0.0198	0.0099	0.0099	0.0396	0.0297	0.0297	0.0198	0.0099	0.0594	0.0198	0.0396	1.0000	0.0396	0.0495	0.0594	0.0297	0.0495	0.0297	0.0198	0.0594	0.0099	0.0198	0.0594	0.0693	0.0297	0.0495	0.0297	0.0792	0.0396	0.0495	0.0594	0.0990	0.0693	0.0495	0.0198	0.0297	0.0495	0.0693	0.0594	0.1089	0.0693	0.0693	0.0297
Otu00102	0.1089	0.1188	0.0198	0.0693	0.0891	0.2376	0.0891	0.1287	0.0990	0.0594	0.0891	0.1089	0.0693	0.9307	0.1188	0.0594	0.2277	0.0198	0.0198	0.1188	0.0198	0.0792	0.0297	0.0495	0.0099	0.7426	0.0099	0.0495	0.0099	0.0198	0.0396	0.0099	0.0297	0.0396	0.0198	0.0693	0.1782	0.0198	0.0198	0.0495	0.0693	0.0198	0.0099	0.0297	0.0099	0.0297	0.0297	0.0495	0.0198	0.0099	0.0396	0.0495	0.0693	0.0198	0.0099	0.0297	0.0099	0.0990	0.0099	0.0396	0.0495	0.0297	0.0198	0.0198	0.0297	0.0198	0.0297	0.0198	0.0891	0.0198	0.0198	0.0495	0.0495	0.0198	0.0198	0.0495	0.0297	0.1089	0.0495	0.3564	0.0495	0.0198	0.0594	0.0792	0.0297	0.0198	0.0396	0.0495	0.0099	0.0495	0.0297	0.0792	0.0396	1.0000	0.0198	0.0594	0.0297	0.0297	0.0396	0.0495	0.0891	0.0297	0.0495	0.0297	0.0495	0.0198	0.0495	0.0396	0.0396	0.0099	0.0594	0.0099	0.0297	0.0297	0.0297	0.0297	0.0396	0.0594	0.0891	0.0495	0.0495	0.0693	0.0297	0.0693
Otu00103	0.2178	0.0990	0.0495	0.1683	0.1584	0.2079	0.0891	0.0594	0.0297	0.1287	0.1386	0.2079	0.1485	0.8911	0.2475	0.0990	0.4356	0.0099	0.0099	0.0396	0.0099	0.0792	0.0396	0.0792	0.0198	0.7921	0.0198	0.0099	0.0198	0.0099	0.0198	0.0396	0.0099	0.0297	0.0396	0.1287	0.2475	0.0297	0.0198	0.0198	0.1188	0.0198	0.0099	0.0198	0.0099	0.0198	0.0396	0.0396	0.0099	0.0396	0.0198	0.0396	0.0297	0.0099	0.0099	0.0198	0.0396	0.0396	0.0396	0.0297	0.0396	0.0495	0.0594	0.0198	0.0594	0.0693	0.0396	0.0198	0.0495	0.0099	0.0198	0.0396	0.0396	0.0693	0.0891	0.1188	0.0099	0.1089	0.0297	0.1386	0.0792	0.0198	0.0099	0.0198	0.0198	0.0396	0.0198	0.0396	0.0198	0.0396	0.0198	0.0198	0.0495	0.0198	1.0000	0.0099	0.0495	0.0396	0.0594	0.0099	0.0495	0.0594	0.0396	0.0792	0.0297	0.0297	0.0792	0.0495	0.0297	0.0297	0.0594	0.0198	0.0891	0.0495	0.0495	0.0495	0.0495	0.0396	0.0990	0.0891	0.0792	0.1188	0.0297	0.0495
Otu00104	0.3267	0.1287	0.0198	0.1089	0.1881	0.2079	0.0594	0.0891	0.0495	0.2376	0.0594	0.2277	0.1287	0.8812	0.0990	0.0495	0.3168	0.0198	0.0198	0.0396	0.0198	0.1584	0.0297	0.1188	0.0297	0.5644	0.0396	0.0495	0.0396	0.0198	0.0396	0.0297	0.0198	0.0198	0.0495	0.1584	0.1188	0.0099	0.0198	0.0297	0.0693	0.0396	0.0099	0.0495	0.0099	0.0297	0.0198	0.0099	0.0297	0.0594	0.0297	0.0594	0.0297	0.0198	0.0099	0.0396	0.0297	0.0396	0.0297	0.0297	0.0792	0.0198	0.0495	0.0396	0.0198	0.0297	0.0099	0.0495	0.0396	0.0198	0.0396	0.0891	0.0198	0.0495	0.0594	0.0990	0.0297	0.1089	0.0198	0.1980	0.0396	0.0495	0.0594	0.0297	0.0594	0.0396	0.0297	0.0198	0.0099	0.0396	0.0297	0.0297	0.0594	0.0594	0.0099	1.0000	0.0198	0.0495	0.1188	0.0495	0.1089	0.0396	0.0198	0.0297	0.0099	0.0594	0.1089	0.0396	0.0396	0.0198	0.0594	0.0495	0.0198	0.0594	0.0495	0.0990	0.0495	0.0198	0.0198	0.0396	0.0693	0.0594	0.0693	0.0396
